




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4495804 Released 2021-02-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13811)	upload_1 (531)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
primary metabolic process (GO:0044238)	3939	100	151.45	-	.66	4.86E-07	9.51E-04
regulation of metabolic process (GO:0019222)	2172	53	83.51	-	.63	1.88E-04	4.20E-02
regulation of macromolecule metabolic process (GO:0060255)	2016	49	77.51	-	.63	3.20E-04	4.56E-02
cellular metabolic process (GO:0044237)	3795	92	145.91	-	.63	8.88E-08	6.95E-04
macromolecule metabolic process (GO:0043170)	3227	78	124.07	-	.63	1.24E-06	1.62E-03
cellular macromolecule metabolic process (GO:0044260)	2173	52	83.55	-	.62	1.13E-04	3.06E-02
regulation of gene expression (GO:0010468)	1624	34	62.44	-	.54	7.38E-05	2.75E-02
organic cyclic compound metabolic process (GO:1901360)	1503	31	57.79	-	.54	1.03E-04	2.97E-02
cellular aromatic compound metabolic process (GO:0006725)	1452	29	55.83	-	.52	7.88E-05	2.80E-02
regulation of RNA biosynthetic process (GO:2001141)	1184	23	45.52	-	.51	2.34E-04	3.90E-02
regulation of transcription, DNA-templated (GO:0006355)	1184	23	45.52	-	.51	2.34E-04	3.82E-02
regulation of nucleic acid-templated transcription (GO:1903506)	1184	23	45.52	-	.51	2.34E-04	3.74E-02
nucleobase-containing compound metabolic process (GO:0006139)	1328	25	51.06	-	.49	5.45E-05	2.66E-02
heterocycle metabolic process (GO:0046483)	1402	26	53.90	-	.48	2.26E-05	1.18E-02
gene expression (GO:0010467)	1098	20	42.22	-	.47	1.86E-04	4.27E-02
regulation of RNA metabolic process (GO:0051252)	1311	23	50.40	-	.46	1.73E-05	9.68E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1352	23	51.98	-	.44	5.67E-06	4.03E-03
nucleic acid metabolic process (GO:0090304)	1059	15	40.72	-	.37	4.65E-06	3.64E-03
female gamete generation (GO:0007292)	623	8	23.95	-	.33	3.19E-04	4.63E-02
RNA metabolic process (GO:0016070)	801	8	30.80	-	.26	1.89E-06	1.84E-03
germ cell development (GO:0007281)	701	7	26.95	-	.26	8.78E-06	5.28E-03
regionalization (GO:0003002)	456	4	17.53	-	.23	2.27E-04	3.86E-02
oogenesis (GO:0048477)	571	3	21.95	-	.14	1.26E-06	1.40E-03
RNA processing (GO:0006396)	545	2	20.95	-	.10	3.61E-07	9.40E-04
regulation of cell cycle (GO:0051726)	311	1	11.96	-	.08	1.91E-04	4.14E-02
mRNA processing (GO:0006397)	267	0	10.27	-	 < 0.01	9.54E-05	2.87E-02
ncRNA metabolic process (GO:0034660)	327	0	12.57	-	 < 0.01	8.40E-06	5.47E-03
RNA splicing (GO:0008380)	229	0	8.80	-	 < 0.01	2.89E-04	4.43E-02
ncRNA processing (GO:0034470)	262	0	10.07	-	 < 0.01	8.86E-05	2.77E-02
