




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4495804 Released 2021-02-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Drosophila melanogaster - REFLIST (13811)	upload_1 (897)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
membrane-enclosed lumen (GO:0031974)	1028	25	66.77	-	.37	6.56E-09	5.14E-07
envelope (GO:0031975)	455	11	29.55	-	.37	2.36E-04	6.54E-03
organelle envelope (GO:0031967)	455	11	29.55	-	.37	2.36E-04	6.41E-03
mitochondrial envelope (GO:0005740)	336	8	21.82	-	.37	1.33E-03	2.77E-02
mitochondrion (GO:0005739)	868	16	56.38	-	.28	4.22E-10	5.11E-08
nuclear protein-containing complex (GO:0140513)	840	15	54.56	-	.27	5.53E-10	6.15E-08
mitochondrial protein-containing complex (GO:0098798)	272	4	17.67	-	.23	3.01E-04	7.87E-03
ribonucleoprotein complex (GO:1990904)	558	8	36.24	-	.22	4.58E-08	3.21E-06
nucleolus (GO:0005730)	222	3	14.42	-	.21	1.01E-03	2.13E-02
mitochondrial matrix (GO:0005759)	172	2	11.17	-	.18	2.19E-03	4.29E-02
spliceosomal complex (GO:0005681)	189	1	12.28	-	.08	1.70E-04	4.94E-03
catalytic step 2 spliceosome (GO:0071013)	126	0	8.18	-	 < 0.01	5.69E-04	1.33E-02
precatalytic spliceosome (GO:0071011)	143	0	9.29	-	 < 0.01	2.73E-04	7.27E-03
