




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4495804 Released 2021-02-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Drosophila melanogaster - REFLIST (13811)	upload_1 (959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
organelle subcompartment (GO:0031984)	400	9	27.77	-	.32	9.15E-05	2.44E-03
Golgi apparatus (GO:0005794)	384	8	26.66	-	.30	6.39E-05	1.77E-03
mitochondrion (GO:0005739)	868	18	60.27	-	.30	3.57E-10	3.40E-08
nucleolus (GO:0005730)	222	4	15.42	-	.26	1.53E-03	2.83E-02
ribonucleoprotein complex (GO:1990904)	558	10	38.75	-	.26	1.22E-07	6.03E-06
spliceosomal complex (GO:0005681)	189	3	13.12	-	.23	2.71E-03	4.57E-02
nuclear protein-containing complex (GO:0140513)	840	13	58.33	-	.22	1.67E-12	2.22E-10
mitochondrial protein-containing complex (GO:0098798)	272	4	18.89	-	.21	1.04E-04	2.66E-03
transferase complex, transferring phosphorus-containing groups (GO:0061695)	156	2	10.83	-	.18	3.07E-03	4.99E-02
mitochondrial matrix (GO:0005759)	172	1	11.94	-	.08	2.46E-04	5.86E-03
catalytic step 2 spliceosome (GO:0071013)	126	0	8.75	-	 < 0.01	3.77E-04	8.51E-03
