Geneid	Length
FBgn0000442	2583
FBgn0266797	468
FBgn0051658	783
FBgn0086130	1732
FBgn0031281	2416
FBgn0031282	2104
FBgn0031283	896
FBgn0031284	1370
FBgn0015621	1246
FBgn0031285	2982
FBgn0031286	1533
FBgn0010583	3735
FBgn0020304	4423
FBgn0264869	462
FBgn0031287	1310
FBgn0020545	1320
FBgn0031288	1183
FBgn0266884	2677
FBgn0262177	91
FBgn0031289	1185
FBgn0029095	3445
FBgn0086031	128
FBgn0020305	1185
FBgn0053526	5428
FBgn0031292	7072
FBgn0002936	871
FBgn0266887	598
FBgn0002563	2749
FBgn0003916	164
FBgn0266799	319
FBgn0264870	325
FBgn0046113	3004
FBgn0028481	4160
FBgn0266036	2877
FBgn0031294	10257
FBgn0031295	793
FBgn0031296	1395
FBgn0003310	5206
FBgn0015905	2745
FBgn0031298	4078
FBgn0031299	3115
FBgn0261938	4718
FBgn0031301	3266
FBgn0031302	1030
FBgn0016926	2497
FBgn0031304	2701
FBgn0031305	1767
FBgn0031306	2707
FBgn0267281	348
FBgn0031307	2029
FBgn0283525	1628
FBgn0031309	999
FBgn0031310	999
FBgn0261458	3233
FBgn0264267	780
FBgn0031312	1272
FBgn0031313	2617
FBgn0031314	1925
FBgn0031315	646
FBgn0024314	2867
FBgn0051922	497
FBgn0031317	1801
FBgn0031318	3424
FBgn0031319	3956
FBgn0031320	1667
FBgn0031321	1566
FBgn0031322	2096
FBgn0031323	802
FBgn0263080	513
FBgn0263081	459
FBgn0040723	550
FBgn0031324	802
FBgn0266885	645
FBgn0262944	832
FBgn0259229	2477
FBgn0031327	2903
FBgn0041097	7413
FBgn0011294	776
FBgn0031331	1328
FBgn0053923	537
FBgn0053922	537
FBgn0026141	736
FBgn0266357	340
FBgn0266358	367
FBgn0031332	1085
FBgn0031333	1091
FBgn0051924	819
FBgn0031335	942
FBgn0051659	695
FBgn0053126	1149
FBgn0031337	953
FBgn0266203	1244
FBgn0002543	6206
FBgn0266202	1586
FBgn0263320	686
FBgn0003926	211
FBgn0263321	1206
FBgn0051928	1565
FBgn0053128	1387
FBgn0051926	1612
FBgn0051661	1341
FBgn0031343	1828
FBgn0031344	1575
FBgn0264873	1166
FBgn0031345	684
FBgn0001174	616
FBgn0026398	1421
FBgn0026397	1298
FBgn0261509	6069
FBgn0031347	2227
FBgn0051935	3058
FBgn0031351	1030
FBgn0021906	1118
FBgn0265814	7316
FBgn0267259	232
FBgn0086758	12618
FBgn0011570	1926
FBgn0031356	2357
FBgn0266311	723
FBgn0031357	790
FBgn0086698	3601
FBgn0031359	2417
FBgn0000579	3718
FBgn0260648	1031
FBgn0031360	1184
FBgn0031361	1198
FBgn0264494	3552
FBgn0027597	1436
FBgn0031364	541
FBgn0041249	1137
FBgn0031365	534
FBgn0045497	1170
FBgn0045498	1163
FBgn0265138	1152
FBgn0045500	1161
FBgn0045501	1185
FBgn0051933	2076
FBgn0051664	2075
FBgn0031367	882
FBgn0262275	115
FBgn0051665	5666
FBgn0264882	403
FBgn0264883	684
FBgn0051663	3847
FBgn0031372	1230
FBgn0264884	819
FBgn0031373	1178
FBgn0031374	11222
FBgn0011859	71
FBgn0040719	560
FBgn0053673	798
FBgn0031375	3291
FBgn0051942	73
FBgn0267972	1243
FBgn0031377	4294
FBgn0031378	813
FBgn0031379	2130
FBgn0001125	1734
FBgn0031381	651
FBgn0262148	1374
FBgn0043539	727
FBgn0053543	2777
FBgn0263441	2447
FBgn0040718	350
FBgn0267276	822
FBgn0040717	528
FBgn0051943	72
FBgn0051944	72
FBgn0031384	4668
FBgn0051939	72
FBgn0051940	72
FBgn0051669	72
FBgn0011860	71
FBgn0259192	3206
FBgn0259230	857
FBgn0003557	4798
FBgn0266836	865
FBgn0028952	2240
FBgn0026396	1209
FBgn0053516	3160
FBgn0031388	1219
FBgn0266043	317
FBgn0264864	1006
FBgn0031389	1867
FBgn0004507	3144
FBgn0031390	5404
FBgn0031391	1907
FBgn0027509	3910
FBgn0031392	2993
FBgn0031393	1038
FBgn0000097	5454
FBgn0265017	3405
FBgn0264875	996
FBgn0051946	73
FBgn0266828	598
FBgn0031395	1586
FBgn0264874	1082
FBgn0085201	943
FBgn0051668	1963
FBgn0053124	2094
FBgn0031397	2635
FBgn0010288	1196
FBgn0085203	720
FBgn0031398	1285
FBgn0259717	691
FBgn0040715	691
FBgn0031399	2956
FBgn0031401	2692
FBgn0031403	693
FBgn0267378	2585
FBgn0264945	794
FBgn0262126	4827
FBgn0264946	676
FBgn0051679	1114
FBgn0052463	1018
FBgn0051682	1108
FBgn0264979	2182
FBgn0262106	2104
FBgn0011832	845
FBgn0042186	832
FBgn0042187	808
FBgn0031406	875
FBgn0266022	366
FBgn0266023	335
FBgn0031407	729
FBgn0054049	967
FBgn0250841	1035
FBgn0264084	2875
FBgn0264085	1130
FBgn0031409	764
FBgn0051681	949
FBgn0261523	765
FBgn0031410	914
FBgn0028570	510
FBgn0051949	786
FBgn0031412	721
FBgn0031413	1783
FBgn0031414	8481
FBgn0014010	3146
FBgn0261647	4318
FBgn0031417	1229
FBgn0031418	1364
FBgn0031419	929
FBgn0266317	549
FBgn0031420	4078
FBgn0264672	1869
FBgn0031422	1493
FBgn0031423	977
FBgn0264081	1112
FBgn0031424	6174
FBgn0031426	1790
FBgn0051948	1362
FBgn0085477	1052
FBgn0085476	1472
FBgn0031428	3762
FBgn0264988	245
FBgn0266217	832
FBgn0000490	5214
FBgn0012017	73
FBgn0012016	73
FBgn0266824	1335
FBgn0264978	4220
FBgn0011818	3223
FBgn0265818	285
FBgn0031430	883
FBgn0267738	1568
FBgn0264943	571
FBgn0031431	1511
FBgn0264944	340
FBgn0031432	1997
FBgn0041337	1844
FBgn0026778	1484
FBgn0085343	1484
FBgn0031434	1654
FBgn0031435	1493
FBgn0031436	733
FBgn0031437	1070
FBgn0026479	2868
FBgn0250835	785
FBgn0266025	843
FBgn0266024	689
FBgn0031440	1234
FBgn0263322	596
FBgn0267269	2531
FBgn0284414	872
FBgn0284413	897
FBgn0264434	252
FBgn0031441	1144
FBgn0264433	476
FBgn0053125	3995
FBgn0031442	830
FBgn0026395	1363
FBgn0031443	1647
FBgn0031444	1147
FBgn0041248	2022
FBgn0051690	3248
FBgn0031446	994
FBgn0031449	3301
FBgn0263564	94
FBgn0031450	2820
FBgn0031451	1440
FBgn0031452	1730
FBgn0250906	2112
FBgn0031453	2718
FBgn0265997	237
FBgn0031454	1251
FBgn0031455	1251
FBgn0031456	3586
FBgn0031457	2034
FBgn0031458	990
FBgn0026324	560
FBgn0028398	664
FBgn0019830	1480
FBgn0031459	709
FBgn0031460	824
FBgn0004242	9454
FBgn0264369	490
FBgn0031461	3265
FBgn0031462	1930
FBgn0031463	1194
FBgn0283531	5336
FBgn0031465	1961
FBgn0031466	1293
FBgn0031467	1066
FBgn0266881	202
FBgn0031468	1884
FBgn0031469	1813
FBgn0031470	1073
FBgn0031471	1217
FBgn0031472	1307
FBgn0031473	2799
FBgn0015521	842
FBgn0031474	3392
FBgn0051694	2639
FBgn0031476	998
FBgn0031478	1785
FBgn0031479	861
FBgn0051950	658
FBgn0028970	1433
FBgn0024947	2802
FBgn0041111	10614
FBgn0010263	8054
FBgn0024920	1346
FBgn0004584	2551
FBgn0260639	1850
FBgn0031483	1933
FBgn0031484	1323
FBgn0031485	878
FBgn0250786	6565
FBgn0025109	1710
FBgn0002989	2878
FBgn0025681	4333
FBgn0031488	3261
FBgn0031489	1577
FBgn0031490	2794
FBgn0031491	1714
FBgn0031492	2906
FBgn0031493	2684
FBgn0031494	1253
FBgn0264996	492
FBgn0031495	1702
FBgn0031496	2863
FBgn0031497	1911
FBgn0031498	1425
FBgn0243513	871
FBgn0031500	1709
FBgn0031501	869
FBgn0042627	8161
FBgn0263847	116
FBgn0003934	131
FBgn0283427	8744
FBgn0015600	11265
FBgn0005779	1327
FBgn0031504	855
FBgn0031505	762
FBgn0011648	3412
FBgn0260817	2221
FBgn0051953	715
FBgn0014906	2857
FBgn0011985	82
FBgn0264744	1273
FBgn0264745	1709
FBgn0011984	82
FBgn0051698	569
FBgn0031512	468
FBgn0085422	2982
FBgn0266875	642
FBgn0266876	309
FBgn0266877	370
FBgn0267270	1547
FBgn0265677	378
FBgn0031513	2192
FBgn0031514	2883
FBgn0265678	770
FBgn0031515	3135
FBgn0031516	3062
FBgn0031518	3475
FBgn0031517	1646
FBgn0031519	2364
FBgn0031520	1838
FBgn0053281	1594
FBgn0053282	1583
FBgn0031522	1631
FBgn0031523	1565
FBgn0020445	5149
FBgn0031526	973
FBgn0085423	7122
FBgn0031528	1889
FBgn0031529	846
FBgn0016698	1393
FBgn0266839	416
FBgn0259949	322
FBgn0259950	553
FBgn0266026	406
FBgn0266027	1122
FBgn0085204	662
FBgn0031530	3575
FBgn0031531	640
FBgn0051952	1376
FBgn0031533	1338
FBgn0031534	2028
FBgn0031535	1072
FBgn0031536	2973
FBgn0266670	2885
FBgn0031538	1511
FBgn0005616	3843
FBgn0263526	111
FBgn0021967	738
FBgn0031540	2611
FBgn0051776	1964
FBgn0051956	2543
FBgn0266912	694
FBgn0264549	1241
FBgn0261560	755
FBgn0031542	1402
FBgn0014396	6181
FBgn0266837	439
FBgn0051954	978
FBgn0266838	342
FBgn0284253	3934
FBgn0031544	1832
FBgn0031545	2379
FBgn0031546	2547
FBgn0031547	1390
FBgn0031548	2398
FBgn0031549	2543
FBgn0031550	1484
FBgn0265367	427
FBgn0024244	2817
FBgn0265368	1035
FBgn0265960	233
FBgn0264370	457
FBgn0264363	414
FBgn0004892	2611
FBgn0284410	402
FBgn0264371	1704
FBgn0002985	2347
FBgn0265369	1324
FBgn0015663	2303
FBgn0031554	531
FBgn0000721	6929
FBgn0263523	107
FBgn0085369	2989
FBgn0259951	522
FBgn0259953	384
FBgn0259952	456
FBgn0261054	386
FBgn0031558	350
FBgn0031559	423
FBgn0051779	653
FBgn0263096	252
FBgn0262721	532
FBgn0031560	325
FBgn0031561	381
FBgn0031562	631
FBgn0031563	577
FBgn0259954	300
FBgn0259955	401
FBgn0259956	363
FBgn0259957	361
FBgn0262621	361
FBgn0265370	334
FBgn0031564	542
FBgn0051778	1137
FBgn0051777	383
FBgn0015376	3236
FBgn0051955	1088
FBgn0031566	2896
FBgn0040104	974
FBgn0003386	5000
FBgn0031568	6367
FBgn0263846	8942
FBgn0263842	318
FBgn0262392	68
FBgn0263843	529
FBgn0004893	4280
FBgn0051960	676
FBgn0051958	606
FBgn0031571	10223
FBgn0021800	4890
FBgn0031573	2418
FBgn0264885	511
FBgn0264886	811
FBgn0003430	1425
FBgn0004567	2346
FBgn0266318	532
FBgn0267007	532
FBgn0267005	649
FBgn0267006	695
FBgn0264887	566
FBgn0031574	3758
FBgn0031575	2977
FBgn0051957	885
FBgn0000256	6240
FBgn0051774	7521
FBgn0051773	2493
FBgn0264341	789
FBgn0266883	537
FBgn0085205	401
FBgn0031579	687
FBgn0031580	566
FBgn0264295	295
FBgn0264296	438
FBgn0000547	6425
FBgn0266319	955
FBgn0086032	116
FBgn0020376	1168
FBgn0014033	2202
FBgn0031585	1925
FBgn0026394	1197
FBgn0267441	697
FBgn0264866	552
FBgn0051961	1477
FBgn0040102	1162
FBgn0031589	3288
FBgn0001075	16852
FBgn0031590	2369
FBgn0003941	659
FBgn0265819	538
FBgn0267284	807
FBgn0264867	1241
FBgn0264868	1071
FBgn0266832	366
FBgn0266833	388
FBgn0266834	498
FBgn0265269	795
FBgn0264889	1094
FBgn0031592	1595
FBgn0010473	9888
FBgn0028482	2730
FBgn0020762	5244
FBgn0262375	61
FBgn0265908	395
FBgn0265909	361
FBgn0265910	426
FBgn0265911	451
FBgn0031596	943
FBgn0266903	2854
FBgn0026319	3225
FBgn0031597	1979
FBgn0031598	2960
FBgn0261976	868
FBgn0027560	2920
FBgn0031600	867
FBgn0022153	5246
FBgn0053003	2033
FBgn0031601	606
FBgn0031602	6408
FBgn0262357	603
FBgn0051963	72
FBgn0085206	882
FBgn0085207	940
FBgn0262358	303
FBgn0259958	578
FBgn0031603	634
FBgn0027609	1749
FBgn0031604	1863
FBgn0025684	1846
FBgn0031606	3335
FBgn0031607	1224
FBgn0040705	460
FBgn0019982	1259
FBgn0285948	633
FBgn0065053	72
FBgn0053002	932
FBgn0031608	1948
FBgn0031609	1731
FBgn0031610	1411
FBgn0031611	2729
FBgn0011603	3965
FBgn0053196	71820
FBgn0031613	500
FBgn0263869	647
FBgn0265820	1255
FBgn0267008	462
FBgn0083938	1519
FBgn0031617	3532
FBgn0264342	747
FBgn0031619	1414
FBgn0284415	732
FBgn0031620	3034
FBgn0000227	1352
FBgn0031621	1446
FBgn0031622	1685
FBgn0085380	3223
FBgn0031623	591
FBgn0031626	1995
FBgn0031627	2672
FBgn0260428	995
FBgn0031628	1541
FBgn0031629	1652
FBgn0266835	235
FBgn0031630	1432
FBgn0031631	2387
FBgn0263577	66
FBgn0031632	3932
FBgn0031633	1352
FBgn0263575	60
FBgn0031634	3587
FBgn0031635	2217
FBgn0031636	2326
FBgn0031637	4096
FBgn0031638	1734
FBgn0031639	924
FBgn0031640	1882
FBgn0051660	6121
FBgn0000286	4315
FBgn0031643	2263
FBgn0031644	1222
FBgn0267280	519
FBgn0031645	2731
FBgn0031646	1294
FBgn0041150	4630
FBgn0031649	2888
FBgn0003372	3950
FBgn0031650	1318
FBgn0031651	875
FBgn0015000	1784
FBgn0031652	1453
FBgn0031653	827
FBgn0031654	894
FBgn0020906	866
FBgn0031655	2411
FBgn0083960	6234
FBgn0264372	1398
FBgn0083961	668
FBgn0015834	1177
FBgn0262467	1041
FBgn0031657	1153
FBgn0010607	1285
FBgn0031659	1986
FBgn0031660	1170
FBgn0031661	1561
FBgn0031662	1194
FBgn0031663	769
FBgn0031664	2080
FBgn0083962	6094
FBgn0053113	4841
FBgn0031668	846
FBgn0265968	846
FBgn0031670	1130
FBgn0016075	6503
FBgn0000299	6165
FBgn0260470	3042
FBgn0260451	3042
FBgn0031673	2019
FBgn0053995	2691
FBgn0264743	2778
FBgn0264742	2778
FBgn0031675	2717
FBgn0022023	1496
FBgn0031676	1605
FBgn0031677	438
FBgn0014857	1002
FBgn0031678	2267
FBgn0028694	1208
FBgn0266829	334
FBgn0028572	3566
FBgn0264368	807
FBgn0262213	115
FBgn0266843	223
FBgn0261608	777
FBgn0031681	4545
FBgn0031682	1935
FBgn0031683	2318
FBgn0031684	953
FBgn0261836	69810
FBgn0082990	145
FBgn0065083	46
FBgn0065107	63
FBgn0083028	140
FBgn0065104	157
FBgn0031688	1673
FBgn0031689	1617
FBgn0031690	2194
FBgn0250847	1139
FBgn0031692	1250
FBgn0003716	4433
FBgn0051971	72
FBgn0051914	72
FBgn0046776	1541
FBgn0265957	1051
FBgn0031693	1666
FBgn0031694	1709
FBgn0031695	1606
FBgn0000228	4953
FBgn0031696	4279
FBgn0265956	1161
FBgn0265955	514
FBgn0016076	4739
FBgn0267294	443
FBgn0031697	2616
FBgn0031698	10041
FBgn0266320	267
FBgn0015031	522
FBgn0031700	652
FBgn0031701	552
FBgn0031702	3231
FBgn0031703	2054
FBgn0016920	6886
FBgn0262097	1980
FBgn0265958	1082
FBgn0016660	3282
FBgn0263866	763
FBgn0263867	701
FBgn0263868	561
FBgn0051647	1515
FBgn0086033	116
FBgn0261963	2920
FBgn0266825	287
FBgn0031707	1213
FBgn0031708	888
FBgn0000318	716
FBgn0031710	2168
FBgn0031711	1671
FBgn0266028	1054
FBgn0051989	4049
FBgn0051648	898
FBgn0051915	2487
FBgn0031713	1604
FBgn0031715	836
FBgn0031716	2148
FBgn0014189	2460
FBgn0002525	3737
FBgn0031717	2281
FBgn0031718	1127
FBgn0031719	919
FBgn0031720	955
FBgn0031721	1179
FBgn0004620	3253
FBgn0020429	2949
FBgn0266029	945
FBgn0041719	148
FBgn0031722	1482
FBgn0031723	1243
FBgn0031724	1804
FBgn0031725	2988
FBgn0266030	432
FBgn0266031	487
FBgn0031726	2501
FBgn0051646	2881
FBgn0266069	980
FBgn0262256	98
FBgn0262321	93
FBgn0262239	89
FBgn0262200	92
FBgn0262333	89
FBgn0262243	100
FBgn0266068	331
FBgn0031728	2162
FBgn0031729	918
FBgn0266066	1154
FBgn0266067	892
FBgn0031730	2495
FBgn0031731	1090
FBgn0266065	749
FBgn0054011	1090
FBgn0031732	2178
FBgn0024191	2780
FBgn0031736	4173
FBgn0031733	2397
FBgn0031734	3030
FBgn0031735	1805
FBgn0031737	1810
FBgn0031738	5434
FBgn0051912	1712
FBgn0051913	863
FBgn0031739	1396
FBgn0031740	1752
FBgn0031741	2550
FBgn0265786	515
FBgn0265787	484
FBgn0262999	296
FBgn0051644	489
FBgn0085410	3637
FBgn0031745	2268
FBgn0265785	493
FBgn0259959	309
FBgn0262814	542
FBgn0031746	561
FBgn0265788	718
FBgn0265789	336
FBgn0002856	504
FBgn0002855	958
FBgn0265790	432
FBgn0031747	1382
FBgn0264352	1182
FBgn0043362	12155
FBgn0031749	1363
FBgn0031751	724
FBgn0264547	757
FBgn0015381	3537
FBgn0266826	218
FBgn0266827	590
FBgn0261055	612
FBgn0001128	3152
FBgn0266321	697
FBgn0031752	4425
FBgn0031753	1041
FBgn0040949	331
FBgn0003980	636
FBgn0086266	627
FBgn0003979	745
FBgn0086265	1543
FBgn0031756	2313
FBgn0031757	1196
FBgn0031758	1167
FBgn0263442	1167
FBgn0000308	2632
FBgn0001942	2480
FBgn0001941	2201
FBgn0031759	7158
FBgn0031760	3030
FBgn0001089	2345
FBgn0264448	1832
FBgn0031762	3750
FBgn0001170	1662
FBgn0031763	832
FBgn0031764	1534
FBgn0031765	1842
FBgn0025742	2230
FBgn0031766	906
FBgn0051643	2938
FBgn0000052	4434
FBgn0262317	87
FBgn0029161	2191
FBgn0085208	2056
FBgn0031768	1842
FBgn0031769	2412
FBgn0031770	3379
FBgn0085209	376
FBgn0031771	1590
FBgn0031772	631
FBgn0031773	2285
FBgn0031774	1498
FBgn0031775	870
FBgn0031776	595
FBgn0031777	787
FBgn0266449	1771
FBgn0264345	546
FBgn0031778	1239
FBgn0265999	308
FBgn0266450	5306
FBgn0266445	4168
FBgn0031779	2078
FBgn0266521	3792
FBgn0051642	1950
FBgn0284255	712
FBgn0031782	1724
FBgn0261697	2650
FBgn0261683	2650
FBgn0031784	1290
FBgn0267283	417
FBgn0266071	443
FBgn0031785	5629
FBgn0040950	1670
FBgn0051639	633
FBgn0031786	855
FBgn0085409	5506
FBgn0026755	1740
FBgn0266070	354
FBgn0053531	5076
FBgn0031791	964
FBgn0031792	877
FBgn0261699	445
FBgn0264543	375
FBgn0260452	657
FBgn0265778	7106
FBgn0031799	4546
FBgn0015623	3344
FBgn0031800	1774
FBgn0031801	1514
FBgn0031802	1722
FBgn0031803	1515
FBgn0031804	1148
FBgn0266003	1610
FBgn0266004	926
FBgn0031805	2309
FBgn0043854	4117
FBgn0259714	3150
FBgn0031808	2154
FBgn0259716	2078
FBgn0259715	1397
FBgn0031811	2643
FBgn0011722	7018
FBgn0263278	1918
FBgn0031813	2887
FBgn0031814	3700
FBgn0031815	2254
FBgn0031816	2252
FBgn0031817	1369
FBgn0259749	2195
FBgn0031818	1944
FBgn0086357	2128
FBgn0267019	270
FBgn0031820	5718
FBgn0031821	1363
FBgn0027496	1105
FBgn0031822	483
FBgn0051638	3212
FBgn0031824	1441
FBgn0031826	1298
FBgn0051637	2672
FBgn0266001	981
FBgn0000320	3690
FBgn0266002	583
FBgn0031829	1470
FBgn0031830	729
FBgn0031832	2343
FBgn0031831	647
FBgn0263916	2385
FBgn0031834	2070
FBgn0031835	8072
FBgn0031836	2405
FBgn0031837	1327
FBgn0266218	367
FBgn0085374	1777
FBgn0051634	2418
FBgn0051635	9511
FBgn0031842	4679
FBgn0051633	1452
FBgn0051636	1567
FBgn0028467	3391
FBgn0031844	1431
FBgn0085339	4571
FBgn0000392	4306
FBgn0263200	1484
FBgn0028990	2283
FBgn0000351	1655
FBgn0031848	977
FBgn0028703	4553
FBgn0031849	1808
FBgn0031850	5017
FBgn0025595	3182
FBgn0031851	1703
FBgn0025777	3066
FBgn0046704	6208
FBgn0031853	3017
FBgn0031854	3076
FBgn0031855	2722
FBgn0051910	905
FBgn0086034	79
FBgn0265257	494
FBgn0031856	1765
FBgn0031857	9867
FBgn0031858	3254
FBgn0015776	2195
FBgn0015777	3568
FBgn0263585	341
FBgn0051631	73
FBgn0042189	844
FBgn0031859	1312
FBgn0031860	1181
FBgn0031861	1280
FBgn0264890	471
FBgn0051632	3744
FBgn0017551	1552
FBgn0086451	6472
FBgn0031865	2745
FBgn0266220	593
FBgn0266219	1272
FBgn0031866	5645
FBgn0262205	91
FBgn0042092	1081
FBgn0031868	3341
FBgn0011737	2652
FBgn0028554	1787
FBgn0052829	865
FBgn0026196	1813
FBgn0263467	101
FBgn0004838	8693
FBgn0262877	774
FBgn0031869	6641
FBgn0031871	2048
FBgn0031872	3276
FBgn0031873	840
FBgn0020616	3634
FBgn0031874	2178
FBgn0031875	1973
FBgn0031876	1230
FBgn0031877	1218
FBgn0031878	2345
FBgn0021944	1467
FBgn0264922	743
FBgn0016978	2948
FBgn0262616	554
FBgn0031879	11820
FBgn0265414	790
FBgn0263026	542
FBgn0263027	1272
FBgn0000053	4780
FBgn0003046	718
FBgn0051908	2135
FBgn0031881	1245
FBgn0031882	2055
FBgn0031883	3222
FBgn0262872	7667
FBgn0031885	5292
FBgn0051907	1574
FBgn0266666	427
FBgn0031886	1290
FBgn0031887	1513
FBgn0031888	2102
FBgn0265822	505
FBgn0267915	463
FBgn0085407	6237
FBgn0265823	2960
FBgn0265821	423
FBgn0267929	588
FBgn0265824	293
FBgn0031893	2088
FBgn0031894	2764
FBgn0031895	2741
FBgn0031896	2082
FBgn0031897	5455
FBgn0263133	2503
FBgn0266324	470
FBgn0259111	7054
FBgn0264343	854
FBgn0264344	590
FBgn0031900	2185
FBgn0010453	3367
FBgn0051909	628
FBgn0284084	2919
FBgn0266842	576
FBgn0031902	2855
FBgn0031903	2375
FBgn0264872	425
FBgn0002938	5425
FBgn0031904	1898
FBgn0031905	2252
FBgn0031906	1686
FBgn0264888	465
FBgn0031907	1730
FBgn0267924	227
FBgn0031908	1123
FBgn0031909	1214
FBgn0031910	1321
FBgn0028387	3569
FBgn0264439	1305
FBgn0262453	98
FBgn0262458	73
FBgn0283658	2451
FBgn0031913	1174
FBgn0031914	3186
FBgn0025697	5563
FBgn0041247	1417
FBgn0045495	4264
FBgn0031918	1163
FBgn0260486	8696
FBgn0031920	2042
FBgn0011283	575
FBgn0264895	7387
FBgn0264891	404
FBgn0267732	510
FBgn0083141	1248
FBgn0266910	321
FBgn0031925	1821
FBgn0031926	2718
FBgn0266034	407
FBgn0266035	374
FBgn0264087	7358
FBgn0040299	7433
FBgn0264997	559
FBgn0031929	1423
FBgn0031930	1350
FBgn0262880	678
FBgn0041182	5288
FBgn0041181	4928
FBgn0266325	1359
FBgn0267326	2184
FBgn0012018	73
FBgn0053296	1949
FBgn0031935	1927
FBgn0031936	2027
FBgn0031937	2499
FBgn0267743	401
FBgn0031939	2765
FBgn0260479	3572
FBgn0014454	858
FBgn0031940	1041
FBgn0031941	547
FBgn0031942	730
FBgn0267282	201
FBgn0267689	2778
FBgn0031945	1643
FBgn0020880	2226
FBgn0003961	1262
FBgn0031946	1236
FBgn0031947	2834
FBgn0031948	2467
FBgn0025687	3495
FBgn0266072	412
FBgn0031950	2560
FBgn0031951	1879
FBgn0031952	5381
FBgn0261800	6282
FBgn0266360	310
FBgn0027515	2804
FBgn0020618	1693
FBgn0004177	3102
FBgn0262546	638
FBgn0031954	811
FBgn0031955	5826
FBgn0040099	3044
FBgn0031957	1346
FBgn0045038	1977
FBgn0266904	390
FBgn0011861	71
FBgn0031959	2552
FBgn0031961	2264
FBgn0261790	521
FBgn0083968	535
FBgn0051902	1270
FBgn0053121	1188
FBgn0085450	8413
FBgn0031968	1896
FBgn0031969	3846
FBgn0031970	2720
FBgn0266331	1639
FBgn0031971	727
FBgn0031972	1502
FBgn0031973	1792
FBgn0031974	995
FBgn0054010	876
FBgn0031975	3129
FBgn0031976	1635
FBgn0031977	1022
FBgn0044323	5928
FBgn0031979	655
FBgn0031980	514
FBgn0065055	162
FBgn0031981	10201
FBgn0011230	16216
FBgn0013531	1037
FBgn0010287	983
FBgn0267488	6296
FBgn0266795	249
FBgn0261822	11657
FBgn0031985	5806
FBgn0031986	1404
FBgn0031987	1165
FBgn0031988	3215
FBgn0031990	6996
FBgn0263561	123
FBgn0261830	593
FBgn0261831	660
FBgn0263256	4619
FBgn0051606	690
FBgn0261064	1846
FBgn0031992	525
FBgn0264953	10908
FBgn0083970	485
FBgn0031995	5507
FBgn0264947	2541
FBgn0031996	1368
FBgn0031997	1636
FBgn0031998	2660
FBgn0264950	2095
FBgn0264951	282
FBgn0264952	267
