# submitted_item	validated_id	current_symbol
Ptth	FBgn0013323	Ptth
Pph13	FBgn0023489	Pph13
Gsc	FBgn0010323	Gsc
CR46148	unknown ID	-
CG13689	FBgn0031270	CG13689
CR44798	unknown ID	-
CG2839	FBgn0031273	CG2839
ds	FBgn0284247	ds
CR46260	unknown ID	-
Eaat2	FBgn0026438	Eaat2
GABA-B-R3	FBgn0031275	GABA-B-R3
CG13947	FBgn0031277	CG13947
Pkg21D	FBgn0000442	Pkg21D
Nnf1b	FBgn0051658	Nnf1b
Dbp21E2	FBgn0086130	Dbp21E2
Saf6	FBgn0031281	Saf6
Pex12	FBgn0031282	Pex12
PGAP2	FBgn0031284	PGAP2
Clp	FBgn0015621	Clp
CG3662	FBgn0031285	CG3662
CG3862	FBgn0031286	CG3862
dock	FBgn0010583	dock
drongo	FBgn0020304	drongo
CR44060	unknown ID	-
CG4291	FBgn0031287	CG4291
kraken	FBgn0020545	kraken
CG13949	FBgn0031288	CG13949
CG13950	FBgn0031289	CG13950
aru	FBgn0029095	aru
dbe	FBgn0020305	dbe
PNUTS	FBgn0053526	PNUTS
ninaA	FBgn0002936	ninaA
CR45348	unknown ID	-
Lsp1beta	FBgn0002563	Lsp1beta
IA-2	FBgn0031294	IA-2
CG4415	FBgn0031296	CG4415
S	FBgn0003310	S
ast	FBgn0015905	ast
Atg4a	FBgn0031298	Atg4a
CG4629	FBgn0031299	CG4629
mtRNApol	unknown ID	-
Pino	FBgn0016926	Pino
CG4552	unknown ID	-
Iris	FBgn0031305	Iris
CG4577	FBgn0031306	CG4577
MFS3	FBgn0031307	MFS3
l(2)10685	FBgn0283525	l(2)10685
Tfb4	FBgn0031309	Tfb4
Vps29	FBgn0031310	Vps29
capt	FBgn0261458	capt
CR43767	unknown ID	-
Tango14	FBgn0031312	Tango14
CG5080	FBgn0031313	CG5080
IntS14	FBgn0031314	IntS14
CG14341	FBgn0031315	CG14341
Plap	FBgn0024314	Plap
CG31922	FBgn0051922	CG31922
Charon	FBgn0031317	Charon
CG4887	FBgn0031318	CG4887
CG4896	FBgn0031319	CG4896
CG5126	FBgn0031320	CG5126
Tgt	FBgn0031321	Tgt
CG5001	FBgn0031322	CG5001
CG5397	FBgn0031327	CG5397
CG5561	FBgn0031333	CG5561
NLaz	FBgn0053126	NLaz
CG14346	FBgn0031337	CG14346
robo2	FBgn0002543	robo2
CG33128	FBgn0053128	CG33128
CG18131	FBgn0031343	CG18131
CG7420	FBgn0031344	CG7420
haf	FBgn0261509	haf
CG10869	unknown ID	-
CG31935	FBgn0051935	Rab3GAP1
CG14352	FBgn0031351	CG14352
RFeSP	FBgn0021906	RFeSP
chinmo	FBgn0086758	chinmo
cpb	FBgn0011570	cpb
CG17660	FBgn0031356	CG17660
CR44976	unknown ID	-
mRpL48	FBgn0031357	mRpL48
frtz	FBgn0086698	frtz
Rim2	FBgn0031359	Rim2
Eno	FBgn0000579	Eno
Rrp40	FBgn0260648	Rrp40
CG31937	FBgn0031360	CG31937
CG17652	FBgn0031361	CG17652
CG17646	FBgn0264494	CG17646
CG17712	FBgn0027597	CG17712
CG17648	FBgn0031364	CG17648
CG17650	FBgn0031365	CG17650
CG31663	FBgn0051663	CG31663
Wdr62	FBgn0031374	Wdr62
Der-1	FBgn0267972	Der-1
CG15356	FBgn0031377	CG15356
CG15362	FBgn0031378	CG15362
CG7289	FBgn0031379	CG7289
Got2	FBgn0001125	Got2
Npc2a	FBgn0031381	Npc2a
CR42874	unknown ID	-
CG15353	FBgn0040718	CG15353
Nplp4	FBgn0040717	Nplp4
CG4238	FBgn0031384	CG4238
Su(dx)	FBgn0003557	Su(dx)
CR45298	unknown ID	-
Kebab	FBgn0028952	Kebab
GlyP	FBgn0004507	GlyP
tho2	FBgn0031390	tho2
CG11723	FBgn0031391	CG11723
TBCD	FBgn0027509	TBCD
AIF	FBgn0031392	AIF
CG15382	FBgn0031393	CG15382
aop	FBgn0000097	aop
CR43751	FBgn0265017	lncRNA:CR43751
CG10874	FBgn0031395	CG10874
CG34172	unknown ID	-
CG15385	FBgn0031397	CG15385
Uch	FBgn0010288	Uch
CG34174	FBgn0085203	CG34174
CG10880	unknown ID	-
mio	FBgn0031399	mio
papi	FBgn0031401	papi
CG15387	FBgn0031403	CG15387
sau	FBgn0267378	sau
CR44114	unknown ID	-
Sec24CD	FBgn0262126	Sec24CD
CR44115	unknown ID	-
CG4267	FBgn0264979	CG4267
CR42859	unknown ID	-
CR43754	unknown ID	-
CG31681	FBgn0051681	CG31681
CG9967	FBgn0031413	CG9967
eys	FBgn0031414	eys
Rab5	FBgn0014010	Rab5
Axud1	FBgn0261647	Axud1
CG3597	FBgn0031417	CG3597
CG3609	FBgn0031418	CG3609
CG15390	FBgn0031419	CG15390
CR44982	unknown ID	-
Atxn7	FBgn0031420	Atxn7
Eogt	FBgn0264672	Eogt
PIG-Wa	FBgn0031422	PIG-Wa
VGlut	FBgn0031424	VGlut
CG9886	FBgn0031428	CG9886
dpp	FBgn0000490	dpp
Slh	FBgn0264978	Slh
oaf	FBgn0011818	oaf
Cyp309a1	FBgn0031432	Cyp309a1
Cyp309a2	FBgn0041337	Cyp309a2
insv	FBgn0031434	insv
Elba2	FBgn0031435	Elba2
ND-B17.2	FBgn0031436	ND-B17.2
Arpc5	FBgn0031437	Arpc5
Drp1	FBgn0026479	Drp1
CG31690	FBgn0051690	CG31690
CG15398	unknown ID	-
CG31689	FBgn0031449	CG31689
Hrs	FBgn0031450	Hrs
CG9961	FBgn0031451	CG9961
Cwc25	FBgn0031452	Cwc25
Pgk	FBgn0250906	Pgk
Bacc	FBgn0031453	Bacc
CR44772	unknown ID	-
Trn-SR	unknown ID	-
CG3077	unknown ID	-
aph-1	FBgn0031458	aph-1
Taf10b	FBgn0026324	Taf10b
Taf10	FBgn0028398	Taf10
colt	FBgn0019830	colt
CG2862	unknown ID	-
CG15399	FBgn0031460	CG15399
Syt1	FBgn0004242	Syt1
daw	FBgn0031461	daw
G6P	FBgn0031463	G6P
Duox	FBgn0283531	Duox
CG3117	FBgn0031471	CG3117
CG3104	FBgn0031473	CG3104
RpS21	FBgn0015521	RpS21
CG2991	FBgn0031474	CG2991
CG31694	FBgn0051694	Ifrd1
CG8814	FBgn0031478	CG8814
Prx6005	FBgn0031479	Prx6005
CG31950	unknown ID	-
betaggt-II	unknown ID	-
NTPase	FBgn0024947	NTPase
lilli	FBgn0041111	lilli
Rbp9	FBgn0010263	Rbp9
Ts	FBgn0024920	Ts
Rrp1	FBgn0004584	Rrp1
gammaTub23C	FBgn0260639	gammaTub23C
CG9641	FBgn0031483	CG9641
CG3165	FBgn0031484	CG3165
CG9643	FBgn0031485	CG9643
Chd1	FBgn0250786	Chd1
Bem46	FBgn0025109	Bem46
okr	FBgn0002989	okr
CG3558	FBgn0025681	CG3558
CG17265	unknown ID	-
CG17224	FBgn0031489	CG17224
CG17264	FBgn0031490	CG17264
alpha4GT1	FBgn0031491	alpha4GT1
CG3542	unknown ID	-
Sf3b2	FBgn0031493	Sf3b2
CG17219	FBgn0031494	CG17219
GABPI	FBgn0031495	GABPI
CG17258	FBgn0031496	CG17258
SerRS	FBgn0031497	SerRS
CG17260	FBgn0031498	CG17260
cnir	FBgn0243513	cnir
CG17221	FBgn0031500	CG17221
CG17261	FBgn0031501	CG17261
FASN2	FBgn0042627	FASN2
snRNA:LU	FBgn0263847	snRNA:LU
snRNA:U5:23D	FBgn0003934	snRNA:U5:23D
FASN1	FBgn0283427	FASN1
toc	FBgn0015600	toc
ND-B14.5B	FBgn0031505	ND-B14.5B
Mad	FBgn0011648	Mad
gkt	FBgn0260817	gkt
Hydr2	FBgn0014906	Hydr2
CG44002	FBgn0264744	CG44002
CR44003	FBgn0264745	CR44003
CG15404	FBgn0031512	CG15404
CG9664	FBgn0031515	CG9664
CG9663	FBgn0031516	CG9663
CG3277	FBgn0031518	CG3277
Fign	FBgn0031519	Fign
CG8837	FBgn0031520	CG8837
E23	FBgn0020445	E23
CG34394	FBgn0085423	GramD1B
CG15412	FBgn0031528	CG15412
CG9662	FBgn0031529	CG9662
Ptpa	FBgn0016698	Ptpa
pgant2	unknown ID	-
CG2772	FBgn0031533	CG2772
Snx1	FBgn0031534	Snx1
CG12795	FBgn0031535	CG12795
Cog3	FBgn0031536	Cog3
Sec5	FBgn0266670	Sec5
CG3246	FBgn0031538	CG3246
msl-2	FBgn0005616	msl-2
ND-PDSW	FBgn0021967	ND-PDSW
CG3238	unknown ID	-
CG31776	FBgn0051776	CG31776
pgant4	unknown ID	-
Thor	FBgn0261560	Thor
CG15414	FBgn0031542	CG15414
tim	FBgn0014396	tim
CG31954	FBgn0051954	CG31954
LeuRS	FBgn0284253	LeuRS
CG17593	FBgn0031544	CG17593
CG3213	FBgn0031545	CG3213
CG8851	FBgn0031546	CG8851
Sr-CIV	FBgn0031547	Sr-CIV
CG8852	FBgn0031548	CG8852
Spindly	FBgn0031549	Spindly
sob	FBgn0004892	sob
odd	FBgn0002985	odd
Dot	unknown ID	-
CG15418	FBgn0031554	CG15418
for	FBgn0000721	for
CG3513	FBgn0031559	CG3513
CR43364	FBgn0263096	CR43364
CG43165	FBgn0262721	CG43165
CG16713	FBgn0031560	CG16713
IM33	FBgn0031561	IM33
CG3604	FBgn0031562	CG3604
CG31778	FBgn0051778	CG31778
CG31777	FBgn0051777	CG31777
cutlet	FBgn0015376	cutlet
CG31955	FBgn0051955	CG31955
CG2818	FBgn0031566	CG2818
Shaw	FBgn0003386	Shaw
CG10019	FBgn0031568	CG10019
CG43707	FBgn0263846	CG43707
CR43704	unknown ID	-
bowl	FBgn0004893	bowl
bark	FBgn0031571	bark
Reph	FBgn0021800	Reph
CG3407	FBgn0031573	CG3407
slp1	FBgn0003430	slp1
CR44078	unknown ID	-
CG3964	unknown ID	-
Cep97	FBgn0031575	Cep97
CG31957	FBgn0051957	CG31957
capu	FBgn0000256	capu
CG15422	FBgn0031579	CG15422
ed	FBgn0000547	ed
CR44984	unknown ID	-
Sr-CI	FBgn0014033	Sr-CI
CR45791	unknown ID	-
CR44057	unknown ID	-
TBCC	FBgn0051961	TBCC
lectin-24Db	FBgn0040102	lectin-24Db
CG3714	unknown ID	-
ft	FBgn0001075	ft
CG3702	FBgn0031590	CG3702
RpL40	FBgn0003941	RpL40
CR44608	unknown ID	-
CR44058	unknown ID	-
Art2	FBgn0031592	Art2
tutl	FBgn0010473	tutl
bdl	FBgn0028482	bdl
Atet	FBgn0020762	Atet
Traf4	FBgn0026319	Traf4
CG17612	FBgn0031597	CG17612
Vps53	FBgn0031598	Vps53
Psf2	FBgn0261976	Psf2
Tps1	FBgn0027560	Tps1
CG3652	FBgn0031600	CG3652
l(2)k05819	FBgn0022153	l(2)k05819
CG33003	FBgn0053003	CG33003
Dim1	FBgn0031601	Dim1
CG15431	FBgn0031602	CG15431
Sfp24F	FBgn0259958	Sfp24F
CG15432	FBgn0031603	CG15432
morgue	FBgn0027609	morgue
Elp3	FBgn0031604	Elp3
MFS18	FBgn0025684	MFS18
CG15439	FBgn0031606	CG15439
CG15440	unknown ID	-
ND-B8	FBgn0040705	ND-B8
Gs1l	FBgn0019982	Gs1l
RpL27A	FBgn0285948	RpL27A
mRpL27	FBgn0053002	mRpL27
CG15435	FBgn0031608	CG15435
CG15443	FBgn0031609	CG15443
CG15436	unknown ID	-
FIG4	FBgn0031611	FIG4
dpy	FBgn0053196	dpy
HP6	FBgn0031613	HP6
CG3251	FBgn0031622	CG3251
Taf12L	FBgn0031623	Taf12L
CG3294	FBgn0031628	CG3294
Clect27	unknown ID	-
CG15629	FBgn0031630	CG15629
CG3225	FBgn0031631	CG3225
CG15628	FBgn0031632	CG15628
Fnta	FBgn0031633	Fnta
Ir25a	FBgn0031634	Ir25a
tank	FBgn0031635	tank
CG12194	FBgn0031636	CG12194
mxt	FBgn0031637	mxt
CG11927	FBgn0031638	CG11927
mRpS2	FBgn0031639	mRpS2
Mon1	FBgn0031640	Mon1
smog	FBgn0051660	smog
Cf2	FBgn0000286	Cf2
CG3008	FBgn0031643	CG3008
CG15625	FBgn0031644	CG15625
CR45716	FBgn0267280	CR45716
CG3036	FBgn0031645	CG3036
CG2837	unknown ID	-
hoe1	FBgn0041150	hoe1
hoe2	FBgn0031649	hoe2
CG14044	FBgn0031650	CG14044
mRpL24	FBgn0031651	mRpL24
betaggt-I	FBgn0015000	betaggt-I
jet	FBgn0031652	jet
Jon25Biii	FBgn0031653	Jon25Biii
Jon25Bi	FBgn0020906	Jon25Bi
Marcal1	FBgn0031655	Marcal1
CG34124	FBgn0083960	CG34124
CR43824	unknown ID	-
CG34125	FBgn0083961	CG34125
eIF3i	FBgn0015834	eIF3i
Scox	FBgn0262467	Scox
CG3756	unknown ID	-
l(2)05714	FBgn0010607	l(2)05714
CG14043	FBgn0031659	CG14043
mRpL28	FBgn0031660	mRpL28
Gmd	FBgn0031661	Gmd
CG3792	FBgn0031662	CG3792
CG8891	FBgn0031663	CG8891
CG8892	FBgn0031664	CG8892
CG34126	FBgn0083962	CG34126
Rtnl1	FBgn0053113	Rtnl1
CG3887	unknown ID	-
vkg	FBgn0016075	vkg
Col4a1	FBgn0000299	Col4a1
CG31650	FBgn0031673	CG31650
CG9121	FBgn0031675	CG9121
eIF3h	FBgn0022023	eIF3h
senju	FBgn0031676	senju
CG14036	FBgn0031677	CG14036
His3.3A	FBgn0014857	His3.3A
CG31918	FBgn0031678	Nepl3
Rpn11	FBgn0028694	Rpn11
CR45291	unknown ID	-
qtc	FBgn0028572	qtc
CR43820	unknown ID	-
CR45305	unknown ID	-
RpL37A	FBgn0261608	RpL37A
pgant5	unknown ID	-
CG5828	FBgn0031682	CG5828
CG4230	FBgn0031683	CG4230
ND-13A	FBgn0031684	ND-13A
Msp300	FBgn0261836	Msp300
Cyp28d2	FBgn0031688	Cyp28d2
Cyp28d1	FBgn0031689	Cyp28d1
TpnC25D	FBgn0031692	TpnC25D
tkv	FBgn0003716	tkv
CR14033	FBgn0046776	CR14033
Cyp4ac2	FBgn0031694	Cyp4ac2
Cyp4ac3	FBgn0031695	Cyp4ac3
Bsg25D	FBgn0000228	Bsg25D
Bub1	FBgn0031696	Bub1
vri	FBgn0016076	vri
CG14024	FBgn0031697	CG14024
Ncoa6	FBgn0031698	Ncoa6
CR44985	unknown ID	-
cype	FBgn0015031	cype
CG14022	FBgn0031700	CG14022
TotM	FBgn0031701	TotM
CG12512	unknown ID	-
H15	FBgn0016660	H15
mid	FBgn0261963	mid
CR45287	unknown ID	-
CG7382	FBgn0031708	CG7382
cl	FBgn0000318	cl
Vps52	FBgn0031710	Vps52
CG6907	FBgn0031711	CG6907
CR44793	unknown ID	-
Cap-D3	FBgn0051989	Cap-D3
CG31648	FBgn0051648	CG31648
CG31915	FBgn0051915	CG31915
CG7277	unknown ID	-
tomb	FBgn0031715	tomb
CG14015	FBgn0031716	CG14015
Hel25E	FBgn0014189	Hel25E
Lam	FBgn0002525	Lam
Oscillin	FBgn0031717	Oscillin
CG18269	FBgn0031719	CG18269
GluRIIA	FBgn0004620	GluRIIA
GluRIIB	FBgn0020429	GluRIIB
Cyp6a16	FBgn0031726	Cyp6a16
Hsp60C	FBgn0031728	Hsp60C
CG7236	FBgn0031730	CG7236
sip1	FBgn0024191	sip1
CG11030	FBgn0031736	CG11030
CG11147	FBgn0031734	CG11147
CG11029	FBgn0031735	CG11029
obst-E	FBgn0031737	obst-E
CG9171	FBgn0031738	CG9171
CR31912	unknown ID	-
CG14005	FBgn0031739	CG14005
CG7239	FBgn0031740	CG7239
CG11034	FBgn0031741	CG11034
CR44576	unknown ID	-
TrissinR	FBgn0085410	TrissinR
rau	FBgn0031745	rau
CG43185	FBgn0262814	CG43185
CG9029	FBgn0031746	CG9029
Acp26Ab	FBgn0002856	Acp26Ab
Acp26Aa	FBgn0002855	Acp26Aa
bchs	FBgn0043362	bchs
Sfp26Ad	FBgn0261055	Sfp26Ad
Gpdh	unknown ID	-
CR44986	unknown ID	-
CG9044	FBgn0031752	CG9044
CG13999	FBgn0031753	CG13999
CG13998	FBgn0040949	CG13998
Vm26Ab	FBgn0003980	Vm26Ab
Vm26Ac	FBgn0086266	Vm26Ac
Vm26Aa	FBgn0003979	Vm26Aa
psd	FBgn0086265	psd
CG13992	FBgn0031756	CG13992
Ucp4C	FBgn0031757	Ucp4C
Ucp4B	FBgn0031758	Ucp4B
CR43465	unknown ID	-
chic	FBgn0000308	chic
eIF4A	FBgn0001942	eIF4A
ifc	FBgn0001941	ifc
lid	unknown ID	-
Tsp26A	FBgn0031760	Tsp26A
Gal	FBgn0001089	Gal
CR43866	unknown ID	-
CG9098	FBgn0031762	CG9098
H2.0	FBgn0001170	H2.0
CG9107	FBgn0031764	CG9107
mtm	FBgn0025742	mtm
CG9117	FBgn0031766	CG9117
CG31643	FBgn0051643	CG31643
ade2	unknown ID	-
slmo	FBgn0029161	slmo
CG12393	unknown ID	-
CG9135	FBgn0031769	CG9135
CG13995	FBgn0031770	CG13995
CG34180	FBgn0085209	CG34180
ND-51	FBgn0031771	ND-51
CG13994	FBgn0031772	CG13994
Fbw5	FBgn0031773	Fbw5
CG9147	FBgn0031774	CG9147
CG9150	FBgn0031775	CG9150
Pfdn1	FBgn0031776	Pfdn1
CG9154	FBgn0031777	CG9154
Kr-h2	FBgn0266449	Kr-h2
CR9162	unknown ID	-
CR44773	unknown ID	-
Kr-h1	FBgn0266450	Kr-h1
CG9175	FBgn0031779	CG9175
stai	FBgn0266521	stai
CG31642	FBgn0051642	CG31642
Arpc4	FBgn0284255	Arpc4
WDR79	FBgn0031782	WDR79
CG13991	FBgn0031785	CG13991
smal	FBgn0085409	smal
Ddr	FBgn0053531	Ddr
PDZ-GEF	FBgn0265778	PDZ-GEF
Pez	FBgn0031799	Pez
Cpr	FBgn0015623	Cpr
CG9498	FBgn0031801	CG9498
CG9505	unknown ID	-
slam	FBgn0043854	slam
DIP-epsilon	FBgn0259714	DIP-epsilon
CG13982	FBgn0031811	CG13982
Tig	FBgn0011722	Tig
Fic	FBgn0263278	Fic
CG9527	unknown ID	-
retm	FBgn0031814	retm
frj	FBgn0031815	frj
CG16947	FBgn0031816	Rchy1
CG9531	unknown ID	-
mmy	FBgn0259749	mmy
CG9536	FBgn0031818	CG9536
Sec61alpha	FBgn0086357	Sec61alpha
CR45463	unknown ID	-
Daxx	FBgn0031820	Daxx
KFase	FBgn0287695	KFase
epsilonCOP	FBgn0027496	epsilonCOP
Phf5a	FBgn0031822	Phf5a
CG31638	FBgn0051638	CG31638
CG9547	FBgn0031824	CG9547
CG31637	FBgn0051637	CG31637
eya	FBgn0000320	eya
CR44776	unknown ID	-
IFT52	FBgn0031829	IFT52
COX5B	FBgn0031830	COX5B
CG9596	FBgn0031832	CG9596
Ent2	FBgn0263916	Ent2
CG13766	FBgn0031834	CG13766
CG11050	FBgn0031836	CG11050
DIP-iota	FBgn0031837	DIP-iota
CR44913	unknown ID	-
Oatp26F	FBgn0051634	Oatp26F
CG31635	FBgn0051635	CG31635
Tango1	FBgn0286898	Tango1
CG31633	FBgn0051633	CG31633
CG31636	FBgn0051636	CG31636
CG11070	unknown ID	-
CG13771	FBgn0031844	CG13771
CG34310	FBgn0085339	CG34310
Galt	FBgn0263200	Galt
Spn27A	FBgn0028990	Spn27A
cort	FBgn0000351	cort
Nse1	FBgn0031848	Nse1
Nhe3	FBgn0028703	Nhe3
CG11327	FBgn0031849	CG11327
Tsp	FBgn0031850	Tsp
AkhR	FBgn0025595	AkhR
Aatf	FBgn0031851	Aatf
homer	FBgn0025777	homer
Liprin-alpha	FBgn0046704	Liprin-alpha
TTLL3B	FBgn0031853	TTLL3B
CG11221	unknown ID	-
CG11322	FBgn0031856	CG11322
LUBEL	FBgn0031857	LUBEL
nrv1	FBgn0015776	nrv1
nrv2	FBgn0015777	nrv2
CG17375	FBgn0031861	CG17375
sens-2	FBgn0051632	sens-2
Rca1	FBgn0017551	Rca1
l(2)k09022	FBgn0086451	l(2)k09022
Nlg2	FBgn0031866	Nlg2
CG13773	FBgn0042092	Polr1F
Rat1	FBgn0031868	Rat1
Wee1	FBgn0011737	Wee1
x16	FBgn0028554	x16
CG32829	FBgn0052829	CG32829
nop5	FBgn0026196	nop5
snoRNA:nop5-x16-a	FBgn0263467	snoRNA:nop5-x16-a
Hrb27C	FBgn0004838	Hrb27C
CG43232	FBgn0262877	CG43232
CG18304	FBgn0031869	CG18304
Fgop2	FBgn0031871	Fgop2
ihog	FBgn0031872	ihog
Gas41	FBgn0031873	Gas41
SA	FBgn0020616	SA
CG13775	FBgn0031874	CG13775
CG3430	FBgn0031875	CG3430
Atac1	FBgn0031876	Atac1
CG10399	unknown ID	-
sip2	FBgn0031878	sip2
Coprox	FBgn0021944	Coprox
smt3	FBgn0264922	smt3
snRNP-U1-70K	FBgn0016978	snRNP-U1-70K
uif	FBgn0031879	uif
CG43322	FBgn0263027	CG43322
ade3	unknown ID	-
Pcp	FBgn0003046	Pcp
CG31908	FBgn0051908	CG31908
MME1	FBgn0031881	MME1
Rab30	FBgn0031882	Rab30
Caper	FBgn0031883	Caper
milt	FBgn0262872	milt
Mnn1	FBgn0031885	Mnn1
Sem1	FBgn0266666	Sem1
Nuf2	FBgn0031886	Nuf2
Pvf2	FBgn0031888	Pvf2
Pvf3	FBgn0085407	Pvf3
MICU1	FBgn0031893	MICU1
CG4496	FBgn0031894	CG4496
CG4497	FBgn0031895	CG4497
CG4502	FBgn0031896	CG4502
CG13784	FBgn0031897	CG13784
mEFG1	FBgn0263133	mEFG1
CR44989	unknown ID	-
Ndae1	FBgn0259111	Ndae1
CG13786	FBgn0031900	CG13786
Wnt4	FBgn0010453	Wnt4
wg	FBgn0284084	wg
Wnt6	FBgn0031902	Wnt6
CG5149	FBgn0031904	CG5149
gudu	FBgn0031905	gudu
CG5160	FBgn0031906	CG5160
CG5171	FBgn0031907	CG5171
CG5177	FBgn0031908	CG5177
CG5181	FBgn0031909	CG5181
CG15818	FBgn0031910	CG15818
chm	FBgn0028387	chm
CR43857	unknown ID	-
muc	FBgn0283658	muc
CG5958	FBgn0031913	CG5958
CG5973	FBgn0031914	CG5973
santa-maria	FBgn0025697	santa-maria
CG6055	FBgn0031918	CG6055
Ziz	FBgn0260486	Ziz
Obp28a	FBgn0011283	Obp28a
RapGAP1	FBgn0264895	RapGAP1
CR46063	unknown ID	-
CG6739	FBgn0031926	CG6739
Tep2	FBgn0041182	Tep2
Tep3	FBgn0041181	Tep3
CG13795	FBgn0031937	CG13795
CG7154	unknown ID	-
CG7149	FBgn0031948	CG7149
LKRSDH	FBgn0286198	LKRSDH
Herp	FBgn0031950	Herp
r2d2	FBgn0031951	r2d2
cdc14	FBgn0031952	cdc14
LanB1	FBgn0261800	LanB1
CR45008	unknown ID	-
CG7115	FBgn0027515	CG7115
Rack1	FBgn0020618	Rack1
mts	FBgn0004177	mts
CG14535	FBgn0031955	CG14535
spz3	FBgn0031959	spz3
CG7102	FBgn0031961	CG7102
SmE	FBgn0261790	SmE
CG34132	FBgn0083968	CG34132
Snoo	FBgn0085450	Snoo
CG7231	FBgn0031968	CG7231
pes	FBgn0031969	pes
CG7227	FBgn0031970	CG7227
CR44996	unknown ID	-
Sirup	FBgn0031971	Sirup
Wwox	FBgn0031972	Wwox
Spn28Dc	FBgn0031973	Spn28Dc
CG12560	FBgn0031974	CG12560
CG34010	FBgn0054010	Glyat
Tg	FBgn0031975	Tg
CG7367	FBgn0031976	CG7367
baf	FBgn0031977	baf
Cka	FBgn0044323	Cka
CCDC53	FBgn0031979	CCDC53
RpL36A	FBgn0031980	RpL36A
snoRNA:Psi28S-2648	FBgn0065055	snoRNA:Psi28S-2648
CG7466	unknown ID	-
poe	FBgn0011230	poe
MED20	FBgn0013531	MED20
Trf	FBgn0010287	Trf
Mcr	FBgn0267488	Mcr
Bsg	FBgn0261822	Bsg
mon2	FBgn0031985	mon2
CG8673	FBgn0031986	CG8673
CG12375	FBgn0031987	CG12375
CG8668	FBgn0031988	CG8668
PAPLA1	FBgn0031990	PAPLA1
CG43394	FBgn0263256	CG43394
Rbsn-5	FBgn0261064	Rbsn-5
CG8498	unknown ID	-
Piezo	FBgn0264953	Piezo
CG34134	FBgn0083970	CG34134
CG8475	FBgn0083970	CG34134
CR44116	unknown ID	-
CG8460	FBgn0031996	CG8460
PGAP5	FBgn0031997	PGAP5
SLC5A11	FBgn0031998	SLC5A11
CR44119	unknown ID	-
CG8419	FBgn0031999	CG8419
Su(var)205	FBgn0003607	Su(var)205
Ssb-c31a	FBgn0015299	Ssb-c31a
CG8372	FBgn0032000	CG8372
CG8360	FBgn0032001	CG8360
CG8353	FBgn0032002	CG8353
CG8349	FBgn0032003	CG8349
